platform,emulator_name,supported_os,homepage,winget_id,homebrew_formula,flatpak_id,retroarch_core,save_directory,save_extensions,notes
3DO Interactive Multiplayer,Opera,Windows;Linux;macOS;Android;iOS,https://github.com/libretro/opera-libretro,Libretro.RetroArch,retroarch,org.libretro.RetroArch,opera,~/.config/retroarch/saves,.srm;.state,libretro core only - requires RetroArch; per-game NVRAM as .srm or shared 3DO.nvram file
Aamber Pegasus,MAME,Windows;Linux;macOS,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/nvram,.nv;.sta;.cfg,Primary recommended emulator; requires pegasus.zip BIOS
Acorn Archimedes,Arculator,Windows;Linux,https://b-em.bbcmicro.com/arculator/,,,,,./cmos;./configs,.cfg,Portable app - config stored in executable directory; saves within emulated disk images (.hdf); macOS port available via github.com/richstokes/arculator-mac
Acorn Atom,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,MAMEdev.MAME,mame,org.mamedev.MAME,mame,~/.mame/sta;~/.mame/nvram,.sta,Multi-system emulator; NVRAM stores game settings/high scores; save states in sta directory
Acorn Electron,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,MAMEdev.MAME,mame,org.mamedev.MAME,mame,~/.mame/nvram;~/.mame/sta,.nv;.sta;.cfg,Multi-system emulator; winget package not yet available but ID reserved; also has MAME 2003/2010/2016 RetroArch cores for older ROM sets
Amstrad CPC,Caprice32,Windows;Linux;macOS,https://github.com/ColinPitrat/caprice32,,,,,~/.config/cap32,.sna;.dsk,Highly accurate emulator; available as snap (caprice32); also has libretro core (cap32)
Amstrad CPC,Caprice32 (libretro),Windows;Linux;macOS;Android;iOS,https://github.com/libretro/libretro-cap32,,,,cap32,RetroArch saves directory,.sna,RetroArch/libretro core; saves as 'content-name#.SNA' in content directory
Amstrad CPC,CaPriCe Forever,Windows,https://www.cpc-power.com/cpcarchives/index.php?page=articles&num=445,,,,,,%APPDATA%/CaPriCe Forever,.sna;.dsk
Amstrad CPC,Arnold,Windows;Linux;macOS;FreeBSD,https://cpctech.cpcwiki.de/download.html,,,,,,./snapshots,.sna
Amstrad CPC,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/nvram,.nv;.sta;.cfg,Multi-system emulator; winget package not yet available but ID reserved; emulates cpc464/cpc664/cpc6128/gx4000
Amstrad CPC,Retro Virtual Machine,Windows;Linux;macOS,https://www.retrovirtualmachine.org/,,,,,~/Library/Application Support/Retro Virtual Machine,.sna;.z80,Proprietary; also emulates ZX Spectrum/MSX/SMS; available as snap (mmartinortiz-retro-virtual-machine)
Amstrad CPC,Azimuth,Android,https://play.google.com/store/apps/details?id=johnidis.azimuth,,,,,,,.dsk;.cdt
Amstrad GX4000,Arnold,Windows;Linux;macOS;FreeBSD,http://arnold.emuunlim.com/,,,,,,.sna,Cycle-accurate emulator; also emulates CPC464/664/6128/Plus and KC Compact
Amstrad GX4000,Caprice32,Windows;Linux;macOS;FreeBSD,https://github.com/ColinPitrat/caprice32,,,snap: caprice32,cap32,~/.config/caprice32,.sna,Available as Snap package on Linux; also has libretro core
Amstrad GX4000,Caprice Forever,Windows,https://www.cpc-power.com/cpcarchives/index.php?page=articles&num=445,,,,,,.sna,Windows-only fork with DirectX/OpenGL rendering
Amstrad GX4000,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/sta;~/.mame/nvram,.sta;.nv,Multi-system emulator; GX4000 driver name is gx4000
Amstrad GX4000,Retro Virtual Machine,Windows;Linux;macOS,https://www.retrovirtualmachine.org/,,,snap: mmartinortiz-retro-virtual-machine,,.rvmstate,.rvmstate,Multi-system emulator; also supports ZX Spectrum and MSX
Amstrad GX4000,CrocoDS,Linux;Android;iOS,https://github.com/libretro/libretro-crocods,,,,crocods,RetroArch states directory,.state,RetroArch core only; originally a Nintendo DS emulator
Android,Waydroid,Linux,https://waydro.id/,,,,,~/.local/share/waydroid/data/media/0,,Linux-only container-based emulator running LineageOS; runs Android 13; requires Wayland
Android,Genymotion,Windows;Linux;macOS,https://www.genymotion.com/,Genymobile.Genymotion,genymotion,,,%localappdata%\Genymobile\Genymotion\deployed,,Proprietary; free for personal use; requires VirtualBox on Windows; uses QEMU on Linux/macOS
Android,Google Play Games,Windows,https://play.google.com/googleplaygames/,,,,,%localappdata%\Google\Play Games\userdata_*\avd\userdata.img,,Official Google emulator; limited to supported titles; Windows only; cloud saves via Google Drive
Android,Trinity,Windows,https://trinityemulator.github.io/,,,,,./hda.img,,GPLv2; high performance; requires Intel VT; Hyper-V or HAXM; includes OpenGApps
APF Imagination Machine,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame_libretro,~/.mame/nvram;~/.mame/sta,.nv;.sta;.cfg,Actively maintained; recommended emulator; absorbed MESS project
APF Imagination Machine,Virtual APF,Windows,https://orphanedgames.com/APF/apf_emulation/apf_emulation.html,,,,,,.sav,Accurate emulation with debugging capabilities; version 20100803; inactive
APF Imagination Machine,APF_EMUW,Windows,https://orphanedgames.com/APF/apf_emulation/apf_emulation.html,,,,,,,Easy to setup; no debugging; version 080418; inactive; author: Enrique Collado
Apogee BK-01,Emu80,Windows;Linux,http://emu80.org,,,,,~/emu80,.rka;.rkr;.gam,Open multiplatform emulator for Soviet computers including Radio-86RK and Apogee. Web version at http://online.emu80.org
Apogee BK-01,MAME,Windows;Linux;macOS,https://www.mamedev.org,,mame,org.mamedev.MAME,mame_libretro,~/.mame/sta;~/.mame/nvram,.sta,Emulates Apogee via Radio-86RK driver. MAME driver name is 'apogee'. Good emulation status.
Apple II,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/sta,.sta;.nv;.cfg,Multi-system emulator; winget package not available; emulates apple2/apple2p/apple2e/apple2ee/apple2gs; nvram in ~/.mame/nvram
Apple II,AppleWin,Windows,https://github.com/AppleWin/AppleWin,AppleWin.AppleWin,,,,AppleWin directory,.aws.yaml,Most popular Windows Apple II emulator; supports II/II+/IIe/Enhanced IIe; legacy .aws format deprecated
Apple II,LinApple,Linux,https://github.com/linappleii/linapple,,,,,~/.config/linapple,.aws,Linux port of AppleWin; supports II/II+/IIe/Enhanced IIe; available in AUR as linapple-git; save states via F11/F12
Apple II,CLK (Clock Signal),Linux;macOS,https://github.com/TomHarte/CLK,,clock-signal,,,,,Cycle-accurate emulator; available as snap (clock-signal); supports II/II+/IIe; no documented save state support
