id,name,launchbox_name,libretro_name,screenscraper_id,openvgdb_system_id,manufacturer,release_date,category,retroarch_core,file_extensions,aliases,created_at
1,"3DO Interactive Multiplayer","3DO Interactive Multiplayer","The 3DO Company - 3DO",,,,,,,,,"2026-01-18 17:33:34"
2,"Aamber Pegasus","Aamber Pegasus",,,,,,,,,,"2026-01-18 17:33:34"
3,"Acorn Archimedes","Acorn Archimedes","Acorn - Archimedes",,,,,,,,,"2026-01-18 17:33:34"
4,"Acorn Atom","Acorn Atom","Acorn - Atom",,,,,,,,,"2026-01-18 17:33:34"
5,"Acorn Electron","Acorn Electron",,,,,,,,,,"2026-01-18 17:33:34"
6,"Amstrad CPC","Amstrad CPC","Amstrad - CPC",,,,,,,,,"2026-01-18 17:33:34"
7,"Amstrad GX4000","Amstrad GX4000","Amstrad - GX4000",,,,,,,,,"2026-01-18 17:33:34"
8,Android,Android,"Google - Android (Misc)",,,,,,,,,"2026-01-18 17:33:34"
9,"APF Imagination Machine","APF Imagination Machine","APF - Imagination Machine",,,,,,,,,"2026-01-18 17:33:34"
10,"Apogee BK-01","Apogee BK-01",,,,,,,,,,"2026-01-18 17:33:34"
11,"Apple II","Apple II","Apple - II",,,,,,,,,"2026-01-18 17:33:34"
12,"Apple IIGS","Apple IIGS","Apple - IIGS",,,,,,,,,"2026-01-18 17:33:35"
13,"Apple iOS","Apple iOS",,,,,,,,,,"2026-01-18 17:33:35"
14,"Apple Mac OS","Apple Mac OS","Apple - Macintosh",,,,,,,,,"2026-01-18 17:33:35"
15,Arcade,Arcade,MAME,,,,,,,,,"2026-01-18 17:33:35"
16,Arduboy,Arduboy,"Arduboy Inc - Arduboy",,,,,,,,,"2026-01-18 17:33:35"
17,"Atari 2600","Atari 2600","Atari - 2600",,,,,,,,,"2026-01-18 17:33:35"
18,"Atari 5200","Atari 5200","Atari - 5200",,,,,,,,,"2026-01-18 17:33:35"
19,"Atari 7800","Atari 7800","Atari - 7800",,,,,,,,,"2026-01-18 17:33:35"
20,"Atari 800","Atari 800","Atari - 8-bit Family",,,,,,,,,"2026-01-18 17:33:35"
21,"Atari Jaguar","Atari Jaguar","Atari - Jaguar",,,,,,,,,"2026-01-18 17:33:35"
22,"Atari Jaguar CD","Atari Jaguar CD","Atari - Jaguar CD",,,,,,,,,"2026-01-18 17:33:35"
23,"Atari Lynx","Atari Lynx","Atari - Lynx",,,,,,,,,"2026-01-18 17:33:35"
24,"Atari ST","Atari ST","Atari - ST",,,,,,,,,"2026-01-18 17:33:35"
25,"Atari XEGS","Atari XEGS","Atari - XEGS",,,,,,,,,"2026-01-18 17:33:36"
26,"Bally Astrocade","Bally Astrocade","Bally - Astrocade",,,,,,,,,"2026-01-18 17:33:36"
27,"Bandai Super Vision 8000","Bandai Super Vision 8000","Bandai - Super Vision 8000",,,,,,,,,"2026-01-18 17:33:36"
28,"BBC Microcomputer System","BBC Microcomputer System","Acorn - BBC Micro",,,,,,,,,"2026-01-18 17:33:36"
29,"Camputers Lynx","Camputers Lynx",,,,,,,,,,"2026-01-18 17:33:36"
30,"Casio Loopy","Casio Loopy","Casio - Loopy",,,,,,,,,"2026-01-18 17:33:36"
31,"Casio PV-1000","Casio PV-1000","Casio - PV-1000",,,,,,,,,"2026-01-18 17:33:36"
32,"Coleco ADAM","Coleco ADAM","Coleco - ColecoVision ADAM",,,,,,,,,"2026-01-18 17:33:36"
33,ColecoVision,ColecoVision,"Coleco - ColecoVision",,,,,,,,,"2026-01-18 17:33:36"
34,"Commodore 128","Commodore 128","Commodore - 128",,,,,,,,,"2026-01-18 17:33:36"
35,"Commodore 64","Commodore 64","Commodore - 64",,,,,,,,,"2026-01-18 17:33:36"
36,"Commodore Amiga","Commodore Amiga","Commodore - Amiga",,,,,,,,,"2026-01-18 17:33:37"
37,"Commodore Amiga CD32","Commodore Amiga CD32","Commodore - CD32",,,,,,,,,"2026-01-18 17:33:38"
38,"Commodore CDTV","Commodore CDTV","Commodore - CDTV",,,,,,,,,"2026-01-18 17:33:38"
39,"Commodore MAX Machine","Commodore MAX Machine",,,,,,,,,,"2026-01-18 17:33:38"
40,"Commodore PET","Commodore PET","Commodore - PET",,,,,,,,,"2026-01-18 17:33:38"
41,"Commodore Plus 4","Commodore Plus 4","Commodore - Plus-4",,,,,,,,,"2026-01-18 17:33:38"
42,"Commodore VIC-20","Commodore VIC-20","Commodore - VIC-20",,,,,,,,,"2026-01-18 17:33:38"
43,"Dragon 32/64","Dragon 32/64",,,,,,,,,,"2026-01-18 17:33:38"
44,"EACA EG2000 Colour Genie","EACA EG2000 Colour Genie",,,,,,,,,,"2026-01-18 17:33:38"
45,"Elektronika BK","Elektronika BK",,,,,,,,,,"2026-01-18 17:33:38"
46,"Emerson Arcadia 2001","Emerson Arcadia 2001","Emerson - Arcadia 2001",,,,,,,,,"2026-01-18 17:33:38"
47,Enterprise,Enterprise,,,,,,,,,,"2026-01-18 17:33:38"
48,"Entex Adventure Vision","Entex Adventure Vision","Entex - Adventure Vision",,,,,,,,,"2026-01-18 17:33:38"
49,"Epoch Game Pocket Computer","Epoch Game Pocket Computer","Epoch - Game Pocket Computer",,,,,,,,,"2026-01-18 17:33:38"
50,"Epoch Super Cassette Vision","Epoch Super Cassette Vision","Epoch - Super Cassette Vision",,,,,,,,,"2026-01-18 17:33:38"
51,"Exelvision EXL 100","Exelvision EXL 100",,,,,,,,,,"2026-01-18 17:33:38"
52,"Exidy Sorcerer","Exidy Sorcerer",,,,,,,,,,"2026-01-18 17:33:38"
53,"Fairchild Channel F","Fairchild Channel F","Fairchild - Channel F",,,,,,,,,"2026-01-18 17:33:38"
54,"Fujitsu FM-7","Fujitsu FM-7","Fujitsu - FM-7",,,,,,,,,"2026-01-18 17:33:38"
55,"Fujitsu FM Towns Marty","Fujitsu FM Towns Marty","Fujitsu - FM Towns",,,,,,,,,"2026-01-18 17:33:38"
56,"Funtech Super Acan","Funtech Super Acan","Funtech - Super Acan",,,,,,,,,"2026-01-18 17:33:38"
57,"GamePark GP32","GamePark GP32","GamePark - GP32",,,,,,,,,"2026-01-18 17:33:38"
